"Sequence" "DepthBaseMVP" "AdaptiveLuminanceCompensation" "VSP_Enable" "Texture_QPISlice" "Texture_QPPSlice" "FrameToBeEncoded" "Depth_QPISlice" "Depth_QPPSlice" "T1_Rate" "T5_Rate" "D1_Rate" "D5_Rate" "Ratio" "T1_PSNR" "T5_PSNR" "AVE_PSNR" "SUM_Rate"
"84" "kendo" "Enable" "Enable" "Enable" 40 40 20 33 33 70.11 73.52 76.37 105.17 0.791175498512724 34.25986 33.9574 34.10863 325.17
"85" "kendo" "Enable" "Enable" "Enable" 40 40 20 34 34 70.45 72.36 64.69 89.47 0.92637519460301 34.25661 33.96398 34.110295 296.97
"86" "kendo" "Enable" "Enable" "Enable" 40 40 20 35 35 69.68 72.22 56.62 78.37 1.05118897696126 34.12387 33.82532 33.974595 276.89
"87" "kendo" "Enable" "Enable" "Enable" 40 40 20 36 36 71.3 73.25 49.01 68.86 1.22635106473233 34.2574 33.95679 34.107095 262.42
"88" "kendo" "Enable" "Enable" "Enable" 40 40 20 37 37 71.58 74.03 43.75 60.72 1.39379726237197 34.28082 33.99039 34.135605 250.08
"89" "kendo" "Enable" "Enable" "Enable" 40 40 20 38 38 70 73.31 36.61 51.24 1.63130335799659 34.143 33.76722 33.95511 231.16
"90" "kendo " "Enable" "Enable" "Enable" 40 40 10 40 40 65.8 72.04 25.56 35.38 NA 34.21077 33.84341 34.02709 198.78
"91" "kendo " "Disable" "Enable" "Disable" 26 26 10 26 26 499.48 565.8 174.94 252.4 NA 41.68658 41.20007 41.443325 1492.62
"92" "kendo" "Disable" "Enable" "Disable" 28 28 10 28 28 386.12 438.94 137.26 197.74 NA 40.80244 40.24156 40.522 1160.06
"93" "kendo " "Disable" "Enable" "Disable" 30 30 10 30 30 301.34 346.12 119.9 174.4 NA 39.75321 39.18298 39.468095 941.76
"94" "kendo" "Disable" "Enable" "Disable" 32 32 10 32 32 246.8 279.76 80.9 115.06 NA 38.80503 38.22771 38.51637 722.52
"95" "kendo " "Disable" "Enable" "Disable" 34 34 10 34 34 202.1 229.1 60.28 90.28 NA 37.77197 37.03368 37.402825 581.76
"96" "kendo" "Disable" "Enable" "Disable" 36 36 10 36 36 164.74 189.04 70.86 103.54 NA 36.53947 35.79123 36.16535 528.18
"97" "kendo " "Disable" "Enable" "Disable" 38 38 10 38 38 143.66 158.56 33.34 48.44 NA 35.4769 34.75489 35.115895 384
"98" "kendo" "Disable" "Enable" "Disable" 40 40 10 40 40 120.7 140.7 25.26 36.56 NA 34.28295 33.38369 33.83332 323.22
"99" "kendo " "Enable" "Enable" "Disable" 26 26 10 26 26 387.96 458.04 180.96 259.08 NA 41.79763 41.29561 41.54662 1286.04
"100" "kendo" "Enable" "Enable" "Disable" 28 28 10 28 28 292.22 339.76 137.26 197.74 NA 40.89437 40.38373 40.63905 966.98
"101" "kendo " "Enable" "Enable" "Disable" 30 30 10 30 30 218.12 254.22 104.22 150.96 NA 39.9263 39.38958 39.65794 727.52
"102" "kendo" "Enable" "Enable" "Disable" 32 32 10 32 32 166.26 189.22 100.9 145.4 NA 38.83597 38.27498 38.555475 601.78
"103" "kendo " "Enable" "Enable" "Disable" 34 34 10 34 34 131.36 146.04 60.28 90.28 NA 37.76182 37.2421 37.50196 427.96
"104" "kendo" "Enable" "Enable" "Disable" 36 36 10 36 36 102.46 115.22 44.74 68.58 NA 36.6988 36.15607 36.427435 331
"105" "kendo " "Enable" "Enable" "Disable" 38 38 10 38 38 80.24 90.28 61.42 87.88 NA 35.45392 36.15607 35.804995 319.82
"106" "kendo " "Enable" "Enable" "Disable" 40 40 10 40 40 67.88 74.44 25.26 36.56 NA 34.433 34.03416 34.23358 204.14
"107" "kendo " "Enable" "Disable" "Enable" 26 26 10 26 26 426.64 507.2 174.94 252.4 NA 41.61395 41.046 41.329975 1361.18
"108" "kendo" "Enable" "Disable" "Enable" 28 28 10 28 28 303.5 370.34 147.72 213.76 NA 40.61783 40.06826 40.343045 1035.32
"109" "kendo " "Enable" "Disable" "Enable" 30 30 10 30 30 235.74 283.54 104.22 150.96 NA 39.72161 39.09309 39.40735 774.46
"110" "kendo" "Enable" "Disable" "Enable" 32 32 10 32 32 175.62 204.96 80.9 115.06 NA 38.73565 37.96629 38.35097 576.54
"111" "kendo " "Enable" "Disable" "Enable" 34 34 10 34 34 135.22 158.76 82.68 122.86 NA 37.55607 36.88494 37.220505 499.52
"112" "kendo" "Enable" "Disable" "Enable" 36 36 10 36 36 108.68 124.92 44.74 68.58 NA 36.56672 35.92188 36.2443 346.92
"113" "kendo " "Enable" "Disable" "Enable" 38 38 10 38 38 80.78 90.2 33.34 48.44 NA 35.39647 34.86064 35.128555 252.76
"114" "kendo" "Enable" "Disable" "Enable" 40 40 10 40 40 69.84 77.58 54.72 76.94 NA 34.17113 33.61795 33.89454 279.08
"115" "kendo" "Enable" "Enable" "Enable" 26 26 100 26 26 394.9 404.43 156.3 211.22 NA 41.81274 41.29554 41.55414 1166.85
"116" "kendo" "Enable" "Enable" "Enable" 26 26 100 28 28 394.15 405.13 121.09 164.21 2.80154223624255 41.81797 41.29628 41.557125 1084.58
"117" "kendo" "Enable" "Enable" "Enable" 26 26 100 29 29 394.02 404.81 105.5 143.05 3.21396097364715 41.8138 41.29153 41.552665 1047.38
"118" "kendo" "Enable" "Enable" "Enable" 26 26 100 30 30 394.16 405.11 91.78 124.38 3.69758512213175 41.8119 41.28881 41.550355 1015.43
"119" "kendo" "Enable" "Enable" "Enable" 26 26 100 31 31 395.15 404.09 81.64 110.69 4.1555659543493 41.81591 41.30201 41.55896 991.57
"120" "kendo" "Enable" "Enable" "Enable" 26 26 100 32 32 394.91 404.96 69.96 94.87 4.85269671783049 41.81612 41.29935 41.557735 964.7
"121" "kendo" "Enable" "Enable" "Enable" 26 26 100 33 33 393.74 406.1 62.54 84.45 5.44145860262603 41.80777 41.29328 41.550525 946.83
"122" "kendo" "Enable" "Enable" "Enable" 26 26 100 34 34 394.63 404.6 54.42 73.47 6.24935491437954 41.8024 41.30141 41.551905 927.12
"123" "kendo" "Enable" "Enable" "Enable" 26 26 100 35 35 393.86 405.91 47.89 64.38 7.12363053353523 41.80735 41.29634 41.551845 912.04
